pc_double_tap_your_favorite_works,Double tap to Like your favorite posts,Toca dos veces para dar Me gusta a tus posts favoritos,अपनी पसंदीदा पोस्ट पसंद करने के लिए दोहरा टैप करें,お気に入りの投稿を「いいね」にするにはダブルタップします。,두 번 눌러 좋아하는 게시물을 추천해주세요.,Toque duas vezes para curtir os seus posts favoritos,"Кликните дважды, чтобы лайкнуть понравившиеся посты",แตะสองครั้งเพื่อไล้ค์โพสต์ที่คุณชื่นชอบ,Nhấp đúp để Thích bài đăng yêu thích của bạn,给喜欢的瞬间双击点赞,給喜歡的瞬間按兩下點贊
intro_title1,Open moments,Abrir momentos,पल खोलें,Moments（瞬間）を開く,모멘츠 열기,Abrir momentos,Открытые моменты,ช่วงเวลาที่เปิด,Mở khoảnh khắc,开启精彩瞬间,開啟精彩瞬間
intro_title2,Miss every cheer,Extraño cada celebración,हर खुशी याद आती है,応援を見逃す,성원을 놓치지 마세요,Perder cada torcida,Ждем любые одобрения,นางสาวทุกกำลังใจ,Bỏ lỡ mọi lời chúc mừng,不错过每次喝彩,不錯過每次喝彩
intro_title3,Allow me to find,Permitirme encontrar,मुझे खोजने की अनुमति दें,私に探させてください。,검색 승인 요청,Permita-me encontrar,Позвольте мне найти,ให้ฉันไปหา,Cho phép tôi tìm,让更多人找到你,讓更多人找到你
pc_dresser_apply,Apply for master,Aplicar para maestro,मास्टर के लिए आवेदन करें,マスターに申し込む,마스터 신청,Candidatar-se para mestre,страшно  заявки ,นำไปใช้เพื่อความเชี่ยวชาญ,Đăng ký chuyên gia,达人申请,達人申請
pc_dresser_apply_introduce,Master intro,Introducción de maestro,मास्टर का परिचय,マスター情報,마스터 소개,Introdução ao mestre,Представление мастера,แนะนำผู้เชี่ยวชาญ,Thông tin chuyên gia,达人介绍,達人介紹
pc_apply_tobe_dresser,Apply to be a master,Ser un maestro,एक मास्टर बनने,マスターになる,마스터 되기 응용,Torne-se um mestre,Стать мастером,นำไปใช้เพื่อจะได้เป็นผู้เชี่ยวชาญ,Trở thành chuyên gia,申请成为达人,申請成為達人
pc_dresser_owner_tag,Exclusive medal,Medalla exclusiva,अनन्य पदक,スペシャルメダル,하나뿐인 훈장,Medalha exclusiva,Эксклюзивная медаль,เหรียญพิเศษ,Huân chương,专属勋章,專屬勛章
pc_dresser_more_follow,More,Más,और अधिक,もっと多くの,기타,Mais,Еще,เพิ่มเติม,Thêm,更多关注,更多關注
pc_dresser_home_recommond,Recommended,Recomendado,अनुशंसित,推奨,추천 완료,Recomendado,Рекомендованный,แนะนำ,Được khuyến cáo,首页推荐,首頁推薦
pc_dresser_idcard_show,Symbol of a master,Símbolo de un maestro,मास्टर का प्रतीक,マスターのシンボル,마스터의 상징,Símbolo de um mestre,Знак мастера,สัญลักษณ์ของผู้เชี่ยวชาญ,Biểu tượng của chuyên gia,达人身份象征,達人身份象徵
pc_dresser_will_recommond_global,You'll be recommended to users worldwide,Serás recomendado a usuarios de todo el mundo,आपकी दुनिया भर में उपयोगकर्ताओं को सिफ़ारिश की जाएगी,あなたは世界中のユーザーに推奨されます。,전세계 사용자에게 추천 완료되었습니다.,Você será recomendado para usuários em todo o mundo,Вы будете рекомендованы пользователям во всем мире,คุณจะได้รับการแนะนำให้แก่ผู้ใช้ทั่วโลก,Bạn sẽ được đề xuất với người dùng trên toàn cầu,你会被推荐给全球用户,你會被推薦給全球用戶
pc_dresser_will_show_to_more_people,Let more people see your photos,Permite que más personas vean tus fotos,और अधिक लोगों को अपनी फ़ोटो दिखाएँ,もっと多くの人にあなたの写真を見てもらいましょう。,더 많은 사람들에게 사진 보여주기,Permita que mais pessoas vejam as suas fotos,Пусть ваши фото увидит больше людей,ให้คนอื่นๆ เห็นรูปถ่ายของคุณ,Hãy để nhiều người hơn thấy ảnh của bạn,让更多人看到你的作品,讓更多人看到你的作品
pc_dresser_apply_condition_title,"If you meet the conditions, you'll get approved more easily!","Si cumples con las condiciones, ¡serás aprobado con mayor facilidad!","यदि आप शर्तों को पूरा करते हैं, तो आपको अधिक आसानी से स्वीकृति मिल जाएगी!",条件が合えば、より簡単に承認されます！,조건을 충족하면 승인이 더 쉽습니다!,"Se você atender às condições, você será aprovado mais facilmente!","Если вы удовлетворяете условиям, вам будет еще проще получить утверждение!",หากคุณปฏิบัติตามเงื่อนไขที่คุณจะได้รับการอนุมัติได้ง่ายขึ้น!,"Nếu bạn đáp ứng điều kiện, bạn sẽ được phê chuẩn dễ dàng hơn!",如果你满足以下条件，将更容易通过审核！,如果你滿足以下條件，將更容易通過審核！
pc_dresser_apply_condition_one,"Loves to use mobile cameras to shoot, and loves to share",Le encanta usar cámaras móviles para tomar fotos y ama compartir,"शूट करने के लिए मोबाइल कैमरों का इस्तेमाल करना पसंद है, और साझा करना पसंद करते हैं",携帯電話カメラで写真を撮ることがとても好きです。またそれを皆と共有することも大好きです。,"모바일 카메라 사용 촬영 사랑, 공유 사랑",Adora usar câmeras móveis para fotografar e adora compartilhar,Любит использовать мобильные телефоны для съемки и любит делиться,รักที่จะใช้กล้องโทรศัพท์มือถือในการถ่ายภาพและรักที่จะแชร์,Thích sử dụng camera di động để chụp ảnh và thích chia sẻ,热爱手机摄影，并乐于分享。,熱愛手機攝影，並樂於分享。
pc_dresser_apply_condition_two,"Unique interests and angles, like recording travel, or shooting foods","Intereses y ángulos únicos, como grabar viajes o tomar fotos de comidas","अनन्य रुचियाँ और कोण, जैसे यात्रा रिकॉर्ड करना, या भोजन शूट करना ",旅行のシーンの記録や食べ物の写真などユニークな対象。,"특별한 관심과 시각, 여행 녹화, 음식 촬영 사랑","Interesses e ângulos exclusivos, gosta de registrar as viagens ou fotografar comidas","Уникальные интересы и увлечения, такие как отчеты о путешествиях или съемка еды",ความสนใจและมุมมองที่ไม่ซ้ำกัน เช่น การบันทึกการเดินทางหรือการถ่ายภาพอาหาร,"Sở thích và góc độ độc đáo, như ghi hình khi đi du lịch hoặc chụp đồ ăn",有独特的兴趣或视角，如记录旅行，拍摄美食等。,有獨特的興趣或視角，如記錄旅行，拍攝美食等。
pc_dresser_apply_condition_three,Already an online star or sensation,Ya es una estrella o sensación en línea,पहले ही ऑनलाइन स्टार या सनसनी हैं,すでにインターネットの世界のスター、有名人です。,이미 인터넷 스타이자 화제거리,Já é uma estrela ou sensação online,Уже Интернет-звезда или сенсация,เป็นดาราออนไลน์หรือความรู้สึกแล้ว,Đang là một ngôi sao trên mạng trực tuyến hoặc có xúc cảm,已经是受欢迎的明星或者网络红人。,已經是受歡迎的藝員或者網路紅人。
pc_dresser_apply_contact,Contact,Contacto,संपर्क,連絡先,연락처,Contato,Контакт,รายชื่อ,Liên hệ,联系方式,聯繫方式
pc_dresser_apply_input_contact,Enter your email,Ingresa tu correo electrónico,अपनी ईमेल दर्ज करें,電子メールを入力する,이메일 입력,Insira o seu e-mail,Введите адрес электронной почты,กรอกอีเมล์ของคุณ,Nhập email của bạn,输入你的邮箱,輸入你的郵箱
